video_id,datetime,title
x87lGRSC7o8,2024-05-30T20:00:30Z,Bernadette Gets Help Inducing Labor | The Big Bang Theory
c26y5leItoo,2024-05-30T18:00:20Z,Stuart and Raj Need to Grow Up | The Big Bang Theory
1wLYkWDKkx4,2024-05-30T16:07:45Z,Memorable Penny Moments (Season 1) | The Big Bang Theory
pACgm9alFPQ,2024-05-30T12:00:55Z,Howard Reads &#39;The Frightened Little Astronaut&#39; 👩‍🚀 | The Big Bang Theory #shorts
tdEgEnFfxdM,2024-05-29T17:00:38Z,Sheldon Reveals Which Friend He’d Eat First | The Big Bang Theory
Vbn9aWOWouo,2024-05-29T12:00:33Z,There&#39;s Few People Sheldon Cooper Hasn&#39;t Insulted 😬 | The Big Bang Theory #shorts
9bZBBNORzuw,2024-05-28T20:00:03Z,Sheldon Invents Empathy | The Big Bang Theory
i9CpT91tXr8,2024-05-28T17:00:25Z,Sheldon and Amy Play &#39;Heads Up&#39; | The Big Bang Theory
jt-nO8q3Cjc,2024-05-28T12:00:50Z,Do They Have Mexican Food In Cuba? 🇨🇺 | The Big Bang Theory #shorts
iVA7vDx7o2U,2024-05-27T20:00:11Z,Sheldon Rents His Old Room | The Big Bang Theory
DH8yDcjLQFU,2024-05-27T14:00:07Z,Unforgettable Sheldon Cooper Moments (Season 3) | The Big Bang Theory
24BVs-Dh-QQ,2024-05-26T12:00:04Z,Sheldon Couldn&#39;t Have Been Happier in this Moment 😆 | The Big Bang Theory #shorts
xCQNfx6C60s,2024-05-25T14:00:50Z,Sheldon&#39;s Mars Application Video | The Big Bang Theory
dEyiFQDFGdY,2024-05-25T12:00:39Z,Amy&#39;s Annual Birthday Gift 🎉  | The Big Bang Theory #shorts
RlDhd7TaOWc,2024-05-24T20:51:33Z,Raj Meets Nell | The Big Bang Theory
f13Z4cY83hE,2024-05-24T17:00:34Z,The Relationship Agreement | The Big Bang Theory
SCBtURIr-HQ,2024-05-24T12:00:34Z,Who Is Sleeping on Sheldon&#39;s Couch? 😴 | The Big Bang Theory #shorts
mO9UV0UPRgQ,2024-05-23T20:00:15Z,Penny Lied Regarding Bernadette&#39;s Pregnancy | The Big Bang Theory
EKUL_Ny4GK0,2024-05-23T14:00:20Z,Hilarious Howard &amp; Raj Moments | The Big Bang Theory
nDfntKSjQ6o,2024-05-23T12:00:45Z,Leonard Finds Out Why He Can&#39;t Touch the Display 😬 | The Big Bang Theory #shorts
ofCbqG3RiHU,2024-05-22T20:00:18Z,Penny Connects with Sheldon&#39;s Mom | The Big Bang Theory
2exM8WI5lAI,2024-05-22T17:00:01Z,Sheldon and Amy Make Out | The Big Bang Theory
281vdyyOLlI,2024-05-22T12:00:05Z,Sheldon Found a Loophole 😂 | The Big Bang Theory #shorts
43_sQ2EzMk0,2024-05-21T20:00:02Z,Zack Ruins it for Raj | The Big Bang Theory
6n7QndOtp6I,2024-05-21T17:00:06Z,Leonard and Penny Want a Relationship Agreement | The Big Bang Theory
ApZbIXQelg4,2024-05-21T12:00:17Z,Penny Sold Leonard Out HARD 😂 | The Big Bang Theory #shorts
YwzmarxgG24,2024-05-20T20:00:16Z,Leonard Won&#39;t Participate in the Mandatory Quarterly Roommate Agreement Meeting | Big Bang Theory
j0whbIXjD8A,2024-05-20T17:00:32Z,If Howard and Raj Were Gay | The Big Bang Theory
rpa46vgM_sM,2024-05-20T14:00:45Z,Season 1 Hilarious Moments | The Big Bang Theory
Tj0XeQ6Vnmo,2024-05-20T12:00:22Z,Sheldon Forbids Amy from Physical Contact with Other Men | The Big Bang Theory #shorts
OIYqOVP5Lq8,2024-05-19T17:00:21Z,Leonard Takes Penny for Granted | The Big Bang Theory
i2cMufNyCd4,2024-05-19T12:00:39Z,Bernadette Got Sick Watching the Teacups Ride 😂 | The Big Bang Theory #shorts
ntHr7UrE88A,2024-05-18T17:00:33Z,Sheldon Attempts To Engage in Small Talk | The Big Bang Theory
faHajcV8SRQ,2024-05-18T12:00:40Z,Amy Is Not a Frog 🐸 | The Big Bang Theory #shorts
1ZzFFkYdjWA,2024-05-17T20:00:00Z,"Riddle Me This, Man-Bat! | The Big Bang Theory"
jm6HxKYzXXU,2024-05-17T12:00:45Z,&quot;WE WON THE NOBEL PRIZE&quot; 🏅 | The Big Bang Theory #shorts
Qi5G0r5_Xfw,2024-05-16T20:00:14Z,Stuart the Stand-in | The Big Bang Theory
PkdyiJI4GIw,2024-05-16T17:00:14Z,Bernadette&#39;s Backyard Retreat | The Big Bang Theory
WiGWpSM19Uo,2024-05-16T14:00:32Z,Relationship Agreement Moments | The Big Bang Theory
